question,answer
"Windows Server nodes","For Windows Server nodes, Windows Update doesn't automatically run and apply the latest updates. On a regular schedule around the Windows Update release cycle and your own validation process, you should perform an upgrade on the cluster and the Windows Server node pool(s) in your AKS cluster. This upgrade process creates nodes that run the latest Windows Server image and patches, then removes the older nodes. For more information on this process, see Upgrade a node pool in AKS."
"Can I move/migrate my cluster between Azure tenants?","Moving your AKS cluster between tenants is currently unsupported."
"Can I move/migrate my cluster between subscriptions?","Movement of clusters between subscriptions is currently unsupported."
"Can I move my AKS clusters from the current Azure subscription to another?","Moving your AKS cluster and its associated resources between Azure subscriptions isn't supported."
"Can I move my AKS cluster or AKS infrastructure resources to other resource groups or rename them?","Moving or renaming your AKS cluster and its associated resources isn't supported."
"Why is my cluster delete taking so long?","Most clusters are deleted upon user request. In some cases, especially cases where you bring your own Resource Group or perform cross-RG tasks, deletion can take more time or even fail. If you have an issue with deletes, double-check that you don't have locks on the RG, that any resources outside of the RG are disassociated from the RG, and so on."
"Can I restore my cluster after deleting it?","No, you're unable to restore your cluster after deleting it. When you delete your cluster, the associated resource group and all its resources are deleted. If you want to keep any of your resources, move them to another resource group before deleting your cluster. If you have the Owner or User Access Administrator built-in role, you can lock Azure resources to protect them from accidental deletions and modifications. For more information, see Lock your resources to protect your infrastructure."
"What is platform support, and what does it include?","Platform support is a reduced support plan for unsupported 'N-3' version clusters. Platform support only includes Azure infrastructure support. Platform support doesn't include anything related to the following: Kubernetes functionality and components, Cluster or node pool creation, Hotfixes, Bug fixes, Security patches, Retired components. For more information on restrictions, see the platform support policy. AKS relies on the releases and patches from Kubernetes, which is an Open Source project that only supports a sliding window of three minor versions. AKS can only guarantee full support while those versions are being serviced upstream. Since there's no more patches being produced upstream, AKS can either leave those versions unpatched or fork. Due to this limitation, platform support doesn't support anything from relying on kubernetes upstream."
"Does AKS automatically upgrade my unsupported clusters?","AKS initiates auto-upgrades for unsupported clusters. When a cluster in an n-3 version (where n is the latest supported AKS GA minor version) is about to drop to n-4, AKS automatically upgrades the cluster to n-2 to remain in an AKS support policy. Automatically upgrading a platform supported cluster to a supported version is enabled by default. For example, kubernetes v1.25 upgrades to v1.26 during the v1.29 GA release. To minimize disruptions, set up maintenance windows. See auto-upgrade for details on automatic upgrade channels."
"If I have pod / deployments in state 'NodeLost' or 'Unknown' can I still upgrade my cluster?","You can, but we don't recommend it. You should perform updates when the state of the cluster is known and healthy."
"If I have a cluster with one or more nodes in an Unhealthy state or shut down, can I perform an upgrade?","No, delete/remove any nodes in a failed state or otherwise from the cluster before upgrading."
